,arrHour,highPower,power_kw,estDurationHrs,estEnergykWh
24,,1,"[6.1931198578260345, 6.091862222362046, 6.002190318135207, 5.921777357008544, 5.851852409852947, 5.797369413877449, 5.768320312490171, 5.787508106789306]",1.9076349999999997,11.8535
0,,0,"[2.9128375651323792, 2.8853817502259576, 2.8623508637830866, 2.85120838655728, 2.8762214342813883]",1.2226350000000001,3.597
25,,1,"[6.1931198578260345, 6.091862222362046, 6.002190318135207, 5.921777357008544, 5.851852409852947, 5.797369413877449, 5.768320312490171, 5.787508106789306]",1.9076349999999997,11.8535
1,,0,"[2.9128375651323792, 2.8853817502259576, 2.8623508637830866, 2.85120838655728, 2.8762214342813883]",1.2226350000000001,3.597
26,,1,"[6.1931198578260345, 6.091862222362046, 6.002190318135207, 5.921777357008544, 5.851852409852947, 5.797369413877449, 5.768320312490171, 5.787508106789306]",1.9076349999999997,11.8535
2,,0,"[2.9128375651323792, 2.8853817502259576, 2.8623508637830866, 2.85120838655728, 2.8762214342813883]",1.2226350000000001,3.597
27,,1,"[6.1931198578260345, 6.091862222362046, 6.002190318135207, 5.921777357008544, 5.851852409852947, 5.797369413877449, 5.768320312490171, 5.787508106789306]",1.9076349999999997,11.8535
3,,0,"[2.9128375651323792, 2.8853817502259576, 2.8623508637830866, 2.85120838655728, 2.8762214342813883]",1.2226350000000001,3.597
28,,1,"[6.1931198578260345, 6.091862222362046, 6.002190318135207, 5.921777357008544, 5.851852409852947, 5.797369413877449, 5.768320312490171, 5.787508106789306]",1.9076349999999997,11.8535
4,,0,"[2.9128375651323792, 2.8853817502259576, 2.8623508637830866, 2.85120838655728, 2.8762214342813883]",1.2226350000000001,3.597
29,,1,"[6.1931198578260345, 6.091862222362046, 6.002190318135207, 5.921777357008544, 5.851852409852947, 5.797369413877449, 5.768320312490171, 5.787508106789306]",1.9076349999999997,11.8535
5,,0,"[2.9128375651323792, 2.8853817502259576, 2.8623508637830866, 2.85120838655728, 2.8762214342813883]",1.2226350000000001,3.597
30,,1,"[5.8457644169115826, 5.557373066077042, 5.301138102119713, 5.075921595769898, 4.883158342066749, 4.727098015888377, 4.6160216358951685, 4.567199261859401, 4.632458897342746]",2.0504580000000003,11.301533333333332
6,,0,"[2.3927357685179937, 2.2748582461625286, 2.172613334327655, 2.0876914022495026, 2.024073175970642, 1.9895593303678902, 2.001195742320841, 2.1082883857727164]",1.807638230769231,4.262753846153847
31,,1,"[2.9010797502868008e-08, 4.392856100637218e-08, 3.4702707371377704e-08, 2.7725467407206512e-08, 2.5374607116851723e-08, 2.5861983852451954e-08, 2.777674765226513e-08, 3.0274717630050235e-08, 5.969816106100915, 5.9571404078324885, 5.944569812267942, 5.932315302220536, 5.9206037201144905, 5.909641209779554, 5.89959904238567, 5.890613870931554, 5.882795638155597, 5.8762383032270264, 5.871030658302282, 5.867266926168735, 5.865060782320227, 5.864576289069592, 5.866117920898567, 5.870410209081664, 5.87950188551806, 5.900066283121563, 5.961908123756422]",6.540800227272728,28.032318181818184
7,,0,"[2.751158033383796, 2.6783303091369617, 2.619775940058951, 2.565852847200013, 2.5105662130743154, 2.451550480535314, 2.389356383483359, 2.3260764749666833, 3.2999999967271263, 3.2999999968009717, 3.2999999968998526, 3.2999999970346856, 3.299999997205131]",3.2155733333333334,9.198166666666667
32,,1,"[8.569054887266524e-10, 3.726647390077142e-10, 7.008534686288815e-10, 9.469911530231965e-10, 5.421946467273763, 5.371371323563404, 5.322794762786429, 5.274819882661755, 5.2269230313998865, 5.1791478144349625, 5.131858368604275, 5.085569309032417, 5.040846967485179, 4.998266656846979, 4.958409798445568, 4.9218886163915, 4.889394558728849, 4.861779759330878, 4.8402065074600085, 4.826458623031335, 4.823683162794057, 4.838458525140218, 4.887987227383967, 5.036941575696621]",5.813423352941176,25.234688235294122
8,,0,"[1.0487040029104506e-09, 8.200348001335225e-10, 1.8573302867679852e-09, 2.406402213445019e-09, 3.072301946312621, 3.067484714872395, 3.0639022508183946, 3.0614973215327783, 3.0601593795034057, 3.0596079408110386, 3.059259929508883, 3.058149385621874, 3.0551110988646637, 3.0496877927936747, 3.0465525190796017]",3.596892,8.413428571428572
33,,1,"[6.002069897173458, 5.9043476497718865, 5.8374129900338865, 5.79054717080229, 5.754913336284892, 5.724126000388633, 5.694224368408717, 5.663254290046611, 5.630698435199674, 5.596931843591981, 5.562796755508517, 5.529326070665724, 5.497607074418422, 5.468764538663983, 5.444053554096781, 5.42509430588394, 5.414386235144739, 5.416565039148741, 5.442253568117465, 5.525504842000461, 4.407009348391286e-08, 2.3185785715810786e-08, 9.017436082913976e-09, 1.0876112724389257e-08]",5.782630162601626,28.08121951219512
9,,0,"[2.8010580796546116, 2.7312433781707335, 2.67798771978523, 2.6347628184510206, 2.596610162605034, 2.560305253765821, 2.5241656326861945, 2.487675110652614, 2.451079304644059, 2.41504931736093, 2.3804544395900606, 2.348247871552843, 2.319452639892045, 2.295234946701693, 2.2770677562609647, 2.267039896114546, 2.2685471242041992, 2.288256444571793, 2.3398437362752054]",4.67112306122449,11.666020408163266
34,,1,"[6.5999999991924, 6.599999998970366, 6.599999998872254, 6.5999999988543125, 6.599999998880027, 6.599999998922348, 6.5999999989637645, 6.599999998994821, 6.599999999011943, 6.599999999015288, 6.599999999006989, 6.5999999989899445, 6.599999998967086, 6.599999998940995, 6.599999998913663, 6.599999998886296, 4.531116248506694, 4.508246474637045, 4.50006323453384, 4.508340808831848, 4.536413478332095, 4.590014356374032, 4.6754489778635495, 4.743837918627994, 5.831848194965996e-10]",6.009141358024691,35.54837037037037
10,,0,"[2.82080036306035, 2.7544760841124494, 2.7005813101947966, 2.6540987022185822, 2.6114316604574945, 2.570465404432583, 2.530345286480644, 2.491138785414613, 2.4535185626943603, 2.4185474850869384, 2.387600295988256, 2.3624384493779553, 2.3454852994042734, 2.340513913448611, 2.354657135814807, 2.404728848207139]",3.837389310344828,10.050206896551725
35,,1,"[6.38062914512131, 6.367157227656254, 6.357785068921204, 6.3507492353656625, 6.344839277409915, 6.3393653363514595, 6.334030615970836, 6.32877506508694, 6.323647665146841, 6.31877781924181, 6.314716073395597, 6.315152463132679, 5.070892127350199e-09, 2.427917732591818e-09]",3.2818009375,19.01890625
