,arrHour,reg_centsPerHr,sch_centsPerHr,sch_overstayPerHr,sch_centsPerkWh,highPower,estDurationHrs,estEnergykWh
0,0,133.5207783,159.1229326,,,0,1.222635,3.597
1,0,228.1263043,217.4192808,,,1,1.907635,11.8535
3,1,133.5207783,159.1229326,,,0,1.222635,3.597
2,1,228.1263043,217.4192808,,,1,1.907635,11.8535
4,2,133.5207783,159.1229326,,,0,1.222635,3.597
5,2,228.1263043,217.4192808,,,1,1.907635,11.8535
6,3,133.5207783,159.1229326,,,0,1.222635,3.597
7,3,228.1263043,217.4192808,,,1,1.907635,11.8535
8,4,133.5207783,159.1229326,,,0,1.222635,3.597
9,4,228.1263043,217.4192808,,,1,1.907635,11.8535
10,5,131.2729836,143.3846296,,,0,1.222635,3.597
11,5,224.8421065,223.3830349,,,1,1.907635,11.8535
12,6,122.6390563,129.4167926,,,0,1.807638231,4.262753846
13,6,226.7704198,225.0484255,,,1,2.050458,11.30153333
14,7,125.8824817,131.1551433,,,0,3.215573333,9.198166667
15,7,226.6772801,215.3455648,,,1,6.540800227,28.03231818
17,8,127.0781192,137.5590565,,,0,3.596892,8.413428571
16,8,240.3560842,233.8568197,,,1,5.813423353,25.23468824
19,9,161.014787,182.5938417,,,0,4.671123061,11.66602041
18,9,253.3524514,191.9847987,,,1,5.782630163,28.08121951
21,10,166.2684241,171.7962502,,,0,3.83738931,10.0502069
20,10,253.0189989,191.6888271,,,1,6.009141358,35.54837037
23,11,159.0325953,125.5188736,,,0,3.906700476,7.389142857
22,11,257.3693642,195.3580922,,,1,3.281800938,19.01890625
25,12,164.5822295,104.5539418,,,0,4.165243684,5.688210526
24,12,230.112717,165.4908171,,,1,3.615328889,15.25404444
27,13,130.1033621,141.5011488,,,0,4.3881504,4.818
26,13,228.3669346,215.5907187,,,1,3.244813125,17.491875
28,14,131.2801317,142.2923102,,,0,4.032101667,6.650833333
29,14,229.6386752,227.1573112,,,1,2.247329,12.3306
31,15,127.7218209,136.8291946,,,0,2.32515,6.190111111
30,15,228.2917161,232.072786,,,1,2.673358889,15.77822222
33,16,131.7424964,142.9812724,,,0,2.72048125,5.686625
32,16,228.5907745,217.3913784,,,1,2.87923125,16.111375
35,17,125.6267703,128.2978794,,,0,2.79044,6.338
34,17,232.5384528,232.940961,,,1,2.078756154,10.05
36,18,123.1149598,126.6373634,,,0,2.81111,8.8
37,18,228.1432354,217.6436647,,,1,2.28150625,13.9744375
39,19,120.7674582,113.7572092,,,0,2.81111,8.8
38,19,225.0324564,204.1577562,,,1,3.17187,16.26775
41,20,127.874148,141.2628341,,,0,1.28208,3.85
40,20,231.1477112,242.5862419,,,1,1.18092,5.821333333
43,21,127.874148,141.2628341,,,0,1.28208,3.85
42,21,223.488997,208.8977907,,,1,2.44333,15.264
45,22,127.874148,141.2628341,,,0,1.28208,3.85
44,22,226.0473616,212.7563974,,,1,2.44333,15.264
46,23,130.8212639,141.4303974,,,0,1.28208,3.85
47,23,239.5910985,233.8330679,,,1,2.44333,15.264
