,arrHour,reg_centsPerHr,sch_centsPerHr,sch_overstayPerHr,sch_centsPerkWh,highPower,estDurationHrs,estEnergykWh
0,0,133.52077832763695,159.12293262552896,,,0,1.2226350000000001,3.597
1,0,228.12630434876536,217.4192808348789,,,1,1.9076349999999997,11.8535
2,1,133.52077832763695,159.12293262552896,,,0,1.2226350000000001,3.597
3,1,228.12630434876536,217.4192808348789,,,1,1.9076349999999997,11.8535
4,2,133.52077832763695,159.12293262552896,,,0,1.2226350000000001,3.597
5,2,228.12630434876536,217.4192808348789,,,1,1.9076349999999997,11.8535
6,3,133.52077832763695,159.12293262552896,,,0,1.2226350000000001,3.597
7,3,228.12630434876536,217.4192808348789,,,1,1.9076349999999997,11.8535
8,4,133.52077832763695,159.12293262552896,,,0,1.2226350000000001,3.597
9,4,228.12630434876536,217.4192808348789,,,1,1.9076349999999997,11.8535
10,5,133.52077832763695,159.12293262552896,,,0,1.2226350000000001,3.597
11,5,228.12630434876536,217.4192808348789,,,1,1.9076349999999997,11.8535
12,6,124.48451822694427,129.47097185845672,,,0,1.807638230769231,4.262753846153847
13,6,230.28849404813462,225.26998472173037,,,1,2.0504580000000003,11.301533333333332
14,7,123.41298524651707,129.61195526041044,,,0,3.2155733333333334,9.198166666666667
15,7,223.70632867844827,199.94929054364428,,,1,6.540800227272728,28.032318181818184
16,8,120.07862377322618,113.74477861540083,,,0,3.596892,8.413428571428572
17,8,222.94068066925885,204.64179044733004,,,1,5.813423352941176,25.234688235294122
18,9,122.83428508845007,130.17394773107884,,,0,4.67112306122449,11.666020408163266
19,9,224.40248749948063,212.15606941123448,,,1,5.782630162601626,28.08121951219512
20,10,125.21040131431182,134.5418284262289,,,0,3.837389310344828,10.050206896551725
21,10,226.6251871654344,215.93132864205165,,,1,6.009141358024691,35.54837037037037
22,11,123.9844117410213,131.97528279285538,,,0,3.906700476190476,7.389142857142858
23,11,227.3410896401442,213.42674433024393,,,1,3.2818009375,19.01890625
24,12,130.81110134904193,144.35138628080844,,,0,4.165243684210527,5.688210526315789
25,12,225.46585225928385,212.67770257201303,,,1,3.6153288888888886,15.254044444444444
26,13,131.61633753532269,144.38596776307335,,,0,4.3881504,4.8180000000000005
27,13,226.74425331687692,218.94579713704644,,,1,3.244813125,17.491875
28,14,131.96619331351184,144.12157419136486,,,0,4.032101666666667,6.650833333333334
29,14,229.63867519973257,227.1573111759396,,,1,2.247329,12.3306
30,15,163.77613314114134,207.59443809738755,,,0,2.32515,6.190111111111111
31,15,245.96855978092992,185.1536425087376,,,1,2.673358888888889,15.77822222222222
32,16,168.6951216375224,177.63581522498046,,,0,2.72048125,5.6866249999999985
33,16,260.2142435372485,197.57921878043618,,,1,2.87923125,16.111375
34,17,165.3897587878741,169.28556865786913,,,0,2.7904400000000003,6.337999999999999
35,17,260.48505882039933,197.77017174775634,,,1,2.078756153846154,10.05
36,18,163.76856073113106,166.24947307130697,,,0,2.8111099999999998,8.799999999999999
37,18,260.2140384923269,197.57931325526792,,,1,2.28150625,13.9744375
38,19,149.53239438871702,132.20562348941118,,,0,2.8111099999999998,8.799999999999999
39,19,253.02027081622987,210.7828129160192,,,1,3.17187,16.26775
40,20,157.77481367226036,151.60312408762763,,,0,1.2820799999999999,3.849999999999999
41,20,261.7150349862161,198.68082996318807,,,1,1.18092,5.821333333333333
42,21,130.8212638896631,141.43039738409547,,,0,1.2820799999999999,3.849999999999999
43,21,227.8671203023698,215.40405390954302,,,1,2.44333,15.264000000000001
44,22,130.8212638896631,141.43039738409547,,,0,1.2820799999999999,3.849999999999999
45,22,227.8671203023698,215.40405390954302,,,1,2.44333,15.264000000000001
46,23,130.8212638896631,141.43039738409547,,,0,1.2820799999999999,3.849999999999999
47,23,227.8671203023698,215.40405390954302,,,1,2.44333,15.264000000000001
