,arrHour,reg_centsPerHr,sch_centsPerHr,sch_overstayPerHr,sch_centsPerkWh,highPower,estDurationHrs,estEnergykWh
24,0,227.8009098293692,215.97960604174534,,,1,1.9076349999999997,11.8535
0,0,123.81915464186278,127.44535663569434,,,0,1.2226350000000001,3.597
25,1,227.8009098293692,215.97960604174534,,,1,1.9076349999999997,11.8535
1,1,123.81915464186278,127.44535663569434,,,0,1.2226350000000001,3.597
26,2,227.8009098293692,215.97960604174534,,,1,1.9076349999999997,11.8535
2,2,123.81915464186278,127.44535663569434,,,0,1.2226350000000001,3.597
27,3,227.8009098293692,215.97960604174534,,,1,1.9076349999999997,11.8535
3,3,123.81915464186278,127.44535663569434,,,0,1.2226350000000001,3.597
28,4,227.8009098293692,215.97960604174534,,,1,1.9076349999999997,11.8535
4,4,123.81915464186278,127.44535663569434,,,0,1.2226350000000001,3.597
29,5,227.8009098293692,215.97960604174534,,,1,1.9076349999999997,11.8535
5,5,123.81915464186278,127.44535663569434,,,0,1.2226350000000001,3.597
30,6,227.80095331820465,215.9796508671555,,,1,2.0504580000000003,11.301533333333332
6,6,123.81914479396337,127.4453376225161,,,0,1.807638230769231,4.262753846153847
31,7,219.95538203840883,204.34355837801334,,,1,6.540800227272728,28.032318181818184
7,7,122.14951321915561,117.91559126339793,,,0,3.2155733333333334,9.198166666666667
32,8,224.50554756150288,199.10008255399504,,,1,5.813423352941176,25.234688235294122
8,8,119.34041099640058,119.41279057321364,,,0,3.596892,8.413428571428572
33,9,223.37129238279294,209.27240358908494,,,1,5.782630162601626,28.08121951219512
9,9,121.60280315737714,125.66644074944762,,,0,4.67112306122449,11.666020408163266
34,10,222.74132379865716,214.55784980896385,,,1,6.009141358024691,35.54837037037037
10,10,121.60280739677621,125.66645305208819,,,0,3.837389310344828,10.050206896551725
35,11,223.37129407077276,209.2724148942156,,,1,3.2818009375,19.01890625
11,11,121.60280100194423,125.66644045563253,,,0,3.906700476190476,7.389142857142858
36,12,224.14623080286873,215.69755107225615,,,1,3.6153288888888886,15.254044444444444
12,12,121.60283995129065,125.66646686144571,,,0,4.165243684210527,5.688210526315789
37,13,227.69028835019984,210.4995052650377,,,1,3.244813125,17.491875
13,13,121.99046891344966,125.84639716091657,,,0,4.3881504,4.8180000000000005
38,14,227.88784118662477,216.08344259367016,,,1,2.247329,12.3306
14,14,124.17838720401288,127.79904741543136,,,0,4.032101666666667,6.650833333333334
39,15,245.585446247129,184.8088632949528,,,1,2.673358888888889,15.77822222222222
15,15,138.2924999091898,140.64441840857938,,,0,2.32515,6.190111111111111
40,16,260.20730689566955,197.58241043209583,,,1,2.87923125,16.111375
16,16,164.186693386757,166.05797609664936,,,0,2.72048125,5.6866249999999985
41,17,260.20733916139085,197.58246725099565,,,1,2.078756153846154,10.05
17,17,164.1867205241041,166.05800327585607,,,0,2.7904400000000003,6.337999999999999
42,18,260.20724624755326,197.58241947401612,,,1,2.28150625,13.9744375
18,18,164.18672045404873,166.05798643210778,,,0,2.8111099999999998,9.256
43,19,248.74643320087418,203.03547669918262,,,1,3.17187,16.26775
19,19,145.07790221794554,138.21739737864138,,,0,2.8111099999999998,9.256
44,20,274.3373246863458,230.61657942518966,,,1,1.18092,5.821333333333333
20,20,141.2739432174397,129.3002408500691,,,0,1.2820799999999999,4.25
45,21,227.88787146550487,216.08347322882813,,,1,2.44333,15.264000000000001
21,21,123.8191210473986,127.44529609833496,,,0,1.2820799999999999,4.25
46,22,227.88787146550487,216.08347322882813,,,1,2.44333,15.264000000000001
22,22,123.8191210473986,127.44529609833496,,,0,1.2820799999999999,4.25
47,23,227.88787146550487,216.08347322882813,,,1,2.44333,15.264000000000001
23,23,123.8191210473986,127.44529609833496,,,0,1.2820799999999999,4.25
