,arrHour,reg_centsPerHr,sch_centsPerHr,sch_overstayPerHr,sch_centsPerkWh,highPower,estDurationHrs,estEnergykWh
0,0,146.8412003628081,192.27573963751962,,,0,1.2226350000000001,3.597
1,0,233.2109273102594,232.54549467210822,,,1,1.9076349999999997,11.8535
2,1,146.8412003628081,192.27573963751962,,,0,1.2226350000000001,3.597
3,1,233.2109273102594,232.54549467210822,,,1,1.9076349999999997,11.8535
4,2,146.8412003628081,192.27573963751962,,,0,1.2226350000000001,3.597
5,2,233.2109273102594,232.54549467210822,,,1,1.9076349999999997,11.8535
6,3,146.8412003628081,192.27573963751962,,,0,1.2226350000000001,3.597
7,3,233.2109273102594,232.54549467210822,,,1,1.9076349999999997,11.8535
8,4,146.8412003628081,192.27573963751962,,,0,1.2226350000000001,3.597
9,4,233.2109273102594,232.54549467210822,,,1,1.9076349999999997,11.8535
10,5,146.8412003628081,192.27573963751962,,,0,1.2226350000000001,3.597
11,5,233.2109273102594,232.54549467210822,,,1,1.9076349999999997,11.8535
12,6,131.74207423858732,143.01083201250313,,,0,1.807638230769231,4.262753846153847
13,6,228.69965460945747,217.21424903746282,,,1,2.0504580000000003,11.301533333333332
14,7,124.35970631077588,122.39431752461242,,,0,3.2155733333333334,9.198166666666667
15,7,221.69464709914584,200.30848156160903,,,1,6.540800227272728,28.032318181818184
16,8,125.69314603788017,130.60862465100345,,,0,3.596892,8.413428571428572
17,8,223.27106405236012,216.0851659598437,,,1,5.813423352941176,25.234688235294122
18,9,127.62957471889197,139.65121160465017,,,0,4.67112306122449,11.666020408163266
19,9,226.80595589024227,218.82534343934518,,,1,5.782630162601626,28.08121951219512
20,10,128.8107806648768,141.8076704160512,,,0,3.837389310344828,10.050206896551725
21,10,226.62523612494883,215.93139329334622,,,1,6.009141358024691,35.54837037037037
22,11,127.30044299401544,137.76773729870396,,,0,3.906700476190476,7.389142857142858
23,11,227.34108963967358,213.42674433074987,,,1,3.2818009375,19.01890625
24,12,130.81109612072208,144.35137909564787,,,0,4.165243684210527,5.688210526315789
25,12,225.89192983643332,231.96164666451727,,,1,3.6153288888888886,15.254044444444444
26,13,125.28987993045784,130.57626195974623,,,0,4.3881504,4.8180000000000005
27,13,227.83354099833767,218.4627568527844,,,1,3.244813125,17.491875
28,14,137.02743218109015,155.7772900897543,,,0,4.032101666666667,6.650833333333334
29,14,229.63867519964106,227.15731117751835,,,1,2.247329,12.3306
30,15,163.65438290206907,207.44263310504212,,,0,2.32515,6.190111111111111
31,15,245.96855978550533,185.15364250639567,,,1,2.673358888888889,15.77822222222222
32,16,168.69514374610182,177.63579289848698,,,0,2.72048125,5.6866249999999985
33,16,260.2142562221315,197.57922185214628,,,1,2.87923125,16.111375
34,17,165.3897587892714,169.28556865582044,,,0,2.7904400000000003,6.337999999999999
35,17,260.62501994932506,197.86307148545495,,,1,2.078756153846154,10.05
36,18,166.03765759626285,170.26492393385942,,,0,2.8111099999999998,9.256
37,18,260.3507698005247,197.67428969260945,,,1,2.28150625,13.9744375
38,19,149.72177601740376,127.4570593234424,,,0,2.8111099999999998,9.256
39,19,249.48381521100453,202.9922929735752,,,1,3.17187,16.26775
40,20,151.44120068006092,128.54359642262105,,,0,1.2820799999999999,4.25
41,20,274.8070656324806,237.89068067975356,,,1,1.18092,5.821333333333333
42,21,132.56153713729523,146.21342406484135,,,0,1.2820799999999999,4.25
43,21,231.09535983814934,230.39727215036223,,,1,2.44333,15.264000000000001
44,22,132.56153713729523,146.21342406484135,,,0,1.2820799999999999,4.25
45,22,231.09535983814934,230.39727215036223,,,1,2.44333,15.264000000000001
46,23,132.56153713729523,146.21342406484135,,,0,1.2820799999999999,4.25
47,23,231.09535983814934,230.39727215036223,,,1,2.44333,15.264000000000001
