,arrHour,DurationHrs33,energy_kWh33,avgPower33,cnts33,DurationHrs66,energy_kWh66,avgPower66,cnts66
0,0,1.222635,3.597,2.942006404200763,,1.907635,11.8535,6.2137148878061055,
1,1,1.222635,3.597,2.942006404200763,,1.907635,11.8535,6.2137148878061055,
2,2,1.222635,3.597,2.942006404200763,,1.907635,11.8535,6.2137148878061055,
3,3,1.222635,3.597,2.942006404200763,,1.907635,11.8535,6.2137148878061055,
4,4,1.222635,3.597,2.942006404200763,,1.907635,11.8535,6.2137148878061055,
5,5,1.222635,3.597,2.942006404200763,2.0,1.907635,11.8535,6.2137148878061055,2.0
6,6,1.807638230769231,4.262753846153847,2.358189693929993,130.0,2.050458,11.301533333333333,5.511711692379621,15.0
7,7,3.2155733333333334,9.198166666666667,2.86050595435547,12.0,6.540800227272727,28.032318181818184,4.285762782500793,88.0
8,8,3.596892,8.413428571428572,2.3390829003007516,35.0,5.813423352941176,25.23468823529412,4.340762181465276,170.0
9,9,4.67112306122449,11.666020408163265,2.4974765715346257,49.0,5.782630162601626,28.08121951219512,4.8561327151451925,123.0
10,10,3.8373893103448276,10.050206896551725,2.6190219661733027,29.0,6.009141358024691,35.54837037037037,5.915715449578928,81.0
11,11,3.9067004761904762,7.389142857142857,1.8914024512952166,21.0,3.2818009375,19.01890625,5.795265042640936,32.0
12,12,4.165243684210526,5.688210526315789,1.3656369128842276,19.0,3.6153288888888886,15.254044444444444,4.219268817098552,45.0
13,13,4.3881504,4.8180000000000005,1.097956897739877,25.0,3.244813125,17.491875,5.390718764428075,32.0
14,14,4.032101666666667,6.650833333333334,1.6494706441347173,12.0,2.247329,12.3306,5.486780084268926,20.0
15,15,2.32515,6.190111111111111,2.662241623598956,9.0,2.673358888888889,15.77822222222222,5.902021717996876,18.0
16,16,2.7204812499999997,5.686624999999999,2.0903011185980422,8.0,2.87923125,16.111375,5.595721080062603,8.0
17,17,2.79044,6.338,2.271326385802956,5.0,2.078756153846154,10.05,4.834621887423063,13.0
18,18,2.81111,9.256,3.2926495227863724,,2.28150625,13.9744375,6.1250927977953165,16.0
19,19,2.81111,9.256,3.2926495227863724,1.0,3.17187,16.26775,5.128756853212773,4.0
20,20,1.28208,4.25,3.314925745663297,2.0,1.18092,5.821333333333333,4.9294900021452195,3.0
21,21,1.28208,4.25,3.314925745663297,,2.44333,15.264,6.24721179701473,1.0
22,22,1.28208,4.25,3.314925745663297,,2.44333,15.264,6.24721179701473,
23,23,1.28208,4.25,3.314925745663297,,2.44333,15.264,6.24721179701473,
