"Station Name","MAC Address","Org Name","Start Date","Start Time Zone","End Date","End Time Zone","Transaction Date (Pacific Time)","Total Duration (hh:mm:ss)","Charging Time (hh:mm:ss)","Energy (kWh)","GHG Savings (kg)","Gasoline Savings (gallons)","Port Type","Port Number","Plug Type","EVSE ID","Address 1","Address 2",City,State/Province,"Postal Code",Country,Latitude,Longitude,Currency,Fee,"Ended By","Plug In Event Id","Driver Postal Code","User ID","Start SOC","End SOC",County,"System S/N","Model Number"
"CALPOLY / GRAND EV2",0024:B100:0002:2010,"California Polytechnic State University","2020-02-29 23:21:28",PST,"2020-03-01 01:43:56",PST,"2020-03-01 01:44:38",02:22:28,02:22:06,17.229,7.236,2.162,"Level 2",1,J1772,119343,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298370,-120.657578,USD,1.900,"Plug Out at Vehicle",5570,94306,21155551,,,"San Luis Obispo County",150541000428,CT4020-HD-GW
"CALPOLY / LOT H2 EV2",0024:B100:0002:12F1,"California Polytechnic State University","2020-02-29 19:17:28",PST,"2020-03-01 00:50:28",PST,"2020-03-01 00:51:26",05:32:59,05:32:31,21.773,9.145,2.733,"Level 2",2,J1772,116197,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302597,-120.663498,USD,11.700,"Plug Out at Vehicle",4567,91789,20993891,,,"San Luis Obispo County",142741005544,CT4025-HD
"CALPOLY / GRAND EV2",0024:B100:0002:2010,"California Polytechnic State University","2020-02-29 21:02:08",PST,"2020-02-29 22:55:14",PST,"2020-02-29 22:56:50",01:53:06,01:45:53,12.007,5.043,1.507,"Level 2",2,J1772,119343,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298370,-120.657578,USD,1.320,"Plug Out at Vehicle",5569,94526,1743601,,,"San Luis Obispo County",150541000428,CT4020-HD-GW
"CALPOLY / LOT H2 EV3",0024:B100:0002:1280,"California Polytechnic State University","2020-02-29 18:52:18",PST,"2020-02-29 21:11:57",PST,"2020-02-29 21:13:22",02:19:39,02:19:15,8.254,3.466,1.036,"Level 2",2,J1772,115119,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302551,-120.663490,USD,0.910,"Plug Out at Vehicle",5418,93420,21005971,,,"San Luis Obispo County",142641005445,CT4025-HD-GW
"CALPOLY / LOT H2 EV4",0024:B100:0002:1302,"California Polytechnic State University","2020-02-29 16:14:12",PST,"2020-02-29 20:00:53",PST,"2020-02-29 20:01:46",03:46:39,03:46:26,14.315,6.012,1.797,"Level 2",2,J1772,116201,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302479,-120.663467,USD,1.570,"Plug Out at Vehicle",6029,93401,21207751,,,"San Luis Obispo County",142741005561,CT4025-HD
"CALPOLY / LOT H2 EV1",0024:B100:0002:2342,"California Polytechnic State University","2020-02-29 16:21:58",PST,"2020-02-29 19:40:56",PST,"2020-02-29 19:41:38",03:18:57,03:18:38,12.304,5.168,1.544,"Level 2",2,J1772,116199,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302666,-120.663521,USD,1.350,"Plug Out at Vehicle",3380,N/A,,,,"San Luis Obispo County",151241001192,CT4025-HD
"CALPOLY / GRAND EV1",0024:B100:0002:1EFF,"California Polytechnic State University","2020-02-29 17:03:18",PST,"2020-02-29 19:26:34",PST,"2020-02-29 19:28:19",02:23:15,02:23:03,11.813,4.961,1.483,"Level 2",1,J1772,118615,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298355,-120.657600,USD,1.300,Customer,3393,93420,2625751,,,"San Luis Obispo County",150241000125,CT4020-HD
"CALPOLY / GRAND EV1",0024:B100:0002:1EFF,"California Polytechnic State University","2020-02-29 16:53:30",PST,"2020-02-29 19:23:32",PST,"2020-02-29 19:24:30",02:30:02,00:54:08,5.030,2.113,0.631,"Level 2",2,J1772,118615,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298355,-120.657600,USD,0.550,"Plug Out at Vehicle",1583024002,93405,20901711,,,"San Luis Obispo County",150241000125,CT4020-HD
"CALPOLY / GRAND EV2",0024:B100:0002:2010,"California Polytechnic State University","2020-02-29 17:39:14",PST,"2020-02-29 18:48:22",PST,"2020-02-29 18:49:05",01:09:11,01:08:55,3.861,1.622,0.485,"Level 2",1,J1772,119343,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298370,-120.657578,USD,0.420,"Plug Out at Vehicle",5568,93420,453471,,,"San Luis Obispo County",150541000428,CT4020-HD-GW
"CALPOLY / GRAND EV2",0024:B100:0002:2010,"California Polytechnic State University","2020-02-29 16:40:33",PST,"2020-02-29 18:20:58",PST,"2020-02-29 18:21:48",01:40:24,01:40:15,5.665,2.379,0.711,"Level 2",2,J1772,119343,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298370,-120.657578,USD,0.620,"Plug Out at Vehicle",5567,92618,4219041,,,"San Luis Obispo County",150541000428,CT4020-HD-GW
"CALPOLY / LOT H2 EV3",0024:B100:0002:1280,"California Polytechnic State University","2020-02-29 14:14:32",PST,"2020-02-29 18:03:16",PST,"2020-02-29 18:04:13",03:48:48,03:48:31,26.725,11.224,3.354,"Level 2",1,J1772,115119,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302551,-120.663490,USD,2.940,"Plug Out at Vehicle",5416,92009,1782891,,,"San Luis Obispo County",142641005445,CT4025-HD-GW
"CALPOLY / LOT H2 EV2",0024:B100:0002:12F1,"California Polytechnic State University","2020-02-29 14:30:23",PST,"2020-02-29 17:02:17",PST,"2020-02-29 17:04:07",02:31:53,01:58:40,13.015,5.466,1.633,"Level 2",2,J1772,116197,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302597,-120.663498,USD,1.430,"Plug Out at Vehicle",1583015415,93410,20436131,,,"San Luis Obispo County",142741005544,CT4025-HD
"CALPOLY / GRAND EV1",0024:B100:0002:1EFF,"California Polytechnic State University","2020-02-29 12:36:15",PST,"2020-02-29 16:11:19",PST,"2020-02-29 16:12:38",03:35:09,03:34:37,25.227,10.595,3.166,"Level 2",2,J1772,118615,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298355,-120.657600,USD,2.770,Customer,3392,92008,21246031,,,"San Luis Obispo County",150241000125,CT4020-HD
"CALPOLY / GRAND EV2",0024:B100:0002:2010,"California Polytechnic State University","2020-02-29 13:18:25",PST,"2020-02-29 15:11:21",PST,"2020-02-29 15:12:35",01:52:56,01:05:49,7.163,3.008,0.899,"Level 2",2,J1772,119343,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298370,-120.657578,USD,0.790,"Plug Out at Vehicle",1583011096,93401,21165371,,,"San Luis Obispo County",150541000428,CT4020-HD-GW
"CALPOLY / LOT H2 EV4",0024:B100:0002:1302,"California Polytechnic State University","2020-02-29 13:08:32",PST,"2020-02-29 15:09:31",PST,"2020-02-29 15:12:09",02:00:58,02:00:52,13.992,5.877,1.756,"Level 2",2,J1772,116201,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302479,-120.663467,USD,1.540,"Plug Out at Vehicle",6028,93465,3778861,,,"San Luis Obispo County",142741005561,CT4025-HD
"CALPOLY / LOT H2 EV3",0024:B100:0002:1280,"California Polytechnic State University","2020-02-29 14:47:08",PST,"2020-02-29 15:02:21",PST,"2020-02-29 15:03:08",00:15:12,00:14:47,1.530,0.643,0.192,"Level 2",2,J1772,115119,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302551,-120.663490,USD,0.170,"Plug Out at Vehicle",5417,91789,20993891,,,"San Luis Obispo County",142641005445,CT4025-HD-GW
"CALPOLY / GRAND EV2",0024:B100:0002:2010,"California Polytechnic State University","2020-02-29 13:08:09",PST,"2020-02-29 14:48:50",PST,"2020-02-29 14:49:33",01:40:40,01:40:20,12.098,5.081,1.518,"Level 2",1,J1772,119343,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298370,-120.657578,USD,1.330,"Plug Out at Vehicle",5566,93401,21517381,,,"San Luis Obispo County",150541000428,CT4020-HD-GW
"CALPOLY / GRAND EV1",0024:B100:0002:1EFF,"California Polytechnic State University","2020-02-29 13:27:36",PST,"2020-02-29 14:03:02",PST,"2020-02-29 14:04:14",00:35:24,00:35:16,3.834,1.610,0.481,"Level 2",1,J1772,118615,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298355,-120.657600,USD,0.420,"Plug Out at Vehicle",1583011649,93405,516687,,,"San Luis Obispo County",150241000125,CT4020-HD
"CALPOLY / GRAND EV1",0024:B100:0002:1EFF,"California Polytechnic State University","2020-02-29 12:16:50",PST,"2020-02-29 12:35:18",PST,"2020-02-29 12:36:14",00:18:27,00:18:10,2.142,0.900,0.269,"Level 2",2,J1772,118615,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298355,-120.657600,USD,0.240,"Plug Out at Vehicle",3391,92008,21246031,,,"San Luis Obispo County",150241000125,CT4020-HD
"CALPOLY / LOT H2 EV1",0024:B100:0002:2342,"California Polytechnic State University","2020-02-29 10:00:02",PST,"2020-02-29 12:29:11",PST,"2020-02-29 12:30:17",02:29:09,01:31:34,4.718,1.982,0.592,"Level 2",2,J1772,116199,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302666,-120.663521,USD,0.520,"Plug Out at Vehicle",3379,94618,2627021,,,"San Luis Obispo County",151241001192,CT4025-HD
"CALPOLY / GRAND EV2",0024:B100:0002:2010,"California Polytechnic State University","2020-02-29 08:54:12",PST,"2020-02-29 11:43:49",PST,"2020-02-29 11:44:36",02:49:37,02:48:47,20.269,8.513,2.544,"Level 2",1,J1772,119343,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298370,-120.657578,USD,2.230,"Plug Out at Vehicle",5565,91601,2816481,,,"San Luis Obispo County",150541000428,CT4020-HD-GW
"CALPOLY / LOT H2 EV3",0024:B100:0002:1280,"California Polytechnic State University","2020-02-29 10:51:21",PST,"2020-02-29 11:43:17",PST,"2020-02-29 11:44:14",00:52:01,00:51:45,3.261,1.370,0.409,"Level 2",2,J1772,115119,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302551,-120.663490,USD,0.360,"Plug Out at Vehicle",5415,93401,21207751,,,"San Luis Obispo County",142641005445,CT4025-HD-GW
"CALPOLY / GRAND EV2",0024:B100:0002:2010,"California Polytechnic State University","2020-02-29 08:48:56",PST,"2020-02-29 11:06:18",PST,"2020-02-29 11:08:05",02:17:21,02:17:10,5.784,2.429,0.726,"Level 2",2,J1772,119343,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298370,-120.657578,USD,0.640,"Plug Out at Vehicle",1582994930,93405,469743,,,"San Luis Obispo County",150541000428,CT4020-HD-GW
"CALPOLY / GRAND EV1",0024:B100:0002:1EFF,"California Polytechnic State University","2020-02-29 09:43:40",PST,"2020-02-29 11:05:09",PST,"2020-02-29 11:06:32",01:21:28,01:21:18,9.591,4.028,1.204,"Level 2",2,J1772,118615,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298355,-120.657600,USD,1.060,"Plug Out at Vehicle",1582998215,93405,20901711,,,"San Luis Obispo County",150241000125,CT4020-HD
"CALPOLY / LOT H2 EV4",0024:B100:0002:1302,"California Polytechnic State University","2020-02-29 08:26:47",PST,"2020-02-29 09:38:03",PST,"2020-02-29 09:38:45",01:11:20,01:10:55,7.706,3.237,0.967,"Level 2",2,J1772,116201,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302479,-120.663467,USD,0.850,"Plug Out at Vehicle",6027,93433,19970781,,,"San Luis Obispo County",142741005561,CT4025-HD
"CALPOLY / GRAND EV1",0024:B100:0002:1EFF,"California Polytechnic State University","2020-02-29 08:48:10",PST,"2020-02-29 08:50:09",PST,"2020-02-29 08:50:21",00:01:59,00:00:00,0.000,0.000,0.000,"Level 2",1,J1772,118615,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298355,-120.657600,USD,0.000,Timeout,1582994883,93405,469743,,,"San Luis Obispo County",150241000125,CT4020-HD
"CALPOLY / GRAND EV2",0024:B100:0002:2010,"California Polytechnic State University","2020-02-29 02:55:34",PST,"2020-02-29 05:36:49",PST,"2020-02-29 05:37:30",02:41:15,02:18:41,7.948,3.338,0.998,"Level 2",2,J1772,119343,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298370,-120.657578,USD,0.870,"Plug Out at Vehicle",5564,93405,648859,,,"San Luis Obispo County",150541000428,CT4020-HD-GW
"CALPOLY / LOT H2 EV2",0024:B100:0002:12F1,"California Polytechnic State University","2020-02-28 21:21:31",PST,"2020-02-29 00:48:59",PST,"2020-02-29 00:50:02",03:27:27,03:27:15,22.255,9.347,2.793,"Level 2",1,J1772,116197,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302597,-120.663498,USD,2.450,"Plug Out at Vehicle",4566,91789,20993891,,,"San Luis Obispo County",142741005544,CT4025-HD
