,arr_time,soc_init,soc_need,batt_cap,duration,overstay_duration,power_max
0,7.416666667,0,0.95,11.77469048,1.938333333,1.863888889,7.2
0,7.5,0,0.95,11.77469048,3.417777778,0.603888889,7.2
0,7.666666667,0,0.95,11.77469048,3.322222222,0.005555556,7.2
0,7.7,0,0.95,11.77469048,3.015555556,0.740277778,7.2
0,7.733333333,0,0.95,11.77469048,3.428333333,0.499722222,7.2
0,7.866666667,0,0.95,11.77469048,3.186944444,0.005,7.2
0,8.133333333,0,0.95,11.77469048,3.113611111,0.683055556,7.2
0,8.866666667,0,0.95,11.77469048,2.961666667,1.381944444,7.2
0,9.016666667,0,0.95,11.77469048,1.606111111,0.004444444,7.2
0,9.6,0,0.95,11.77469048,1.984444444,0.002222222,7.2
0,9.95,0,0.95,11.77469048,1.841944444,0.003055556,7.2
0,11.85,0,0.95,11.77469048,3.526111111,0.151111111,7.2
0,11.85,0,0.95,11.77469048,1.79,2.1225,7.2
0,14.06666667,0,0.95,11.77469048,1.784722222,2.165833333,7.2
0,14.25,0,0.95,11.77469048,1.659444444,0.003333333,7.2
0,15.23333333,0,0.95,11.77469048,1.653888889,3.118888889,7.2
0,16.5,0,0.95,11.77469048,3.445555556,0.663055556,7.2
0,17.01666667,0,0.95,11.77469048,2.644444444,1.225277778,7.2
0,17.15,0,0.95,11.77469048,1.64,0.003055556,7.2
0,17.63333333,0,0.95,11.77469048,2.634166667,1.206388889,7.2
0,17.86666667,0,0.95,11.77469048,2.737777778,0.696388889,7.2
0,8.5,0.001949602,0.95,11.77469048,3.461111111,0.406111111,7.2
0,18.93333333,0.002629025,0.95,11.77469048,2.2775,0.280833333,7.2
0,7.5,0.003053665,0.95,11.77469048,3.448888889,0.135,7.2
0,14.76666667,0.005856286,0.95,11.77469048,2.924722222,0.003888889,7.2
0,13.41666667,0.01061225,0.95,11.77469048,3.433611111,0.676666667,7.2
0,16.93333333,0.012310808,0.95,11.77469048,3.323333333,0.464722222,7.2
0,11.7,0.015453141,0.95,11.77469048,2.944444444,0.418333333,7.2
0,12.9,0.016557204,0.95,11.77469048,2.909166667,0.630555556,7.2
0,7.316666667,0.017916051,0.95,11.77469048,2.933888889,0.616111111,7.2
0,11.9,0.021398096,0.95,11.77469048,1.576388889,0.523611111,7.2
0,13.66666667,0.027088267,0.95,11.77469048,3.257222222,0.406388889,7.2
0,7.55,0.029890888,0.95,11.77469048,3.200833333,0.864444444,7.2
0,14.65,0.034392068,0.95,11.77469048,1.577777778,1.293333333,7.2
0,8.3,0.037109762,0.95,11.77469048,2.8625,0.908611111,7.2
0,7.35,0.037194689,0.95,11.77469048,1.941388889,0.375277778,7.2
0,7.683333333,0.038468608,0.95,11.77469048,1.876388889,1.827777778,7.2
0,7.666666667,0.03880832,0.95,11.77469048,3.163611111,0.402222222,7.2
0,12.95,0.039572671,0.95,11.77469048,2.896111111,0.558055556,7.2
0,7.433333333,0.040676734,0.95,11.77469048,3.277777778,0.002777778,7.2
0,7.983333333,0.041186302,0.95,11.77469048,2.846111111,0.063055556,7.2
0,13.4,0.043479356,0.95,11.77469048,2.9125,0.141388889,7.2
0,8.016666667,0.045008058,0.95,11.77469048,2.816388889,0.007777778,7.2
0,9.316666667,0.047131256,0.95,11.77469048,1.687222222,0.535833333,7.2
0,8.216666667,0.048065464,0.95,11.77469048,2.829722222,0.417777778,7.2
0,17.06666667,0.049679094,0.95,11.77469048,2.5325,1.408055556,7.2
